name,riskScore,status,reviewer,date,age,occupation,coverageType,coverageAmount,income,policyTerm,premiumAmount,policyType,claimHistory,maritalStatus,dependents,healthHistory,policyStartDate
Bruce Banner,718,Approved,Reviewer_1,2023-01-14,34,Scientist,Health,$860614,$144303,13 years,$29801,Term Life,Yes,Married,1,No,2024-07-25
Tony Stark,730,Pending,Reviewer_2,2023-04-05,25,Scientist,Health,$499341,$141593,16 years,$13783,Whole Life,Yes,Married,0,No,2024-08-17
Tony Stark,660,Declined,Reviewer_1,2024-09-19,48,Teacher,Critical Illness,$864558,$140520,27 years,$4575,Whole Life,No,Married,4,No,2024-09-26
Clint Barton,677,Approved,Reviewer_5,2023-09-13,45,Doctor,Term Life,$224755,$99643,12 years,$17588,Whole Life,No,Single,2,No,2024-07-01
Clint Barton,711,Needs Info,Reviewer_2,2023-06-07,58,Engineer,Life,$595411,$34443,13 years,$31076,Whole Life,No,Single,2,No,2024-01-18
Clint Barton,760,Declined,Reviewer_5,2023-06-07,51,Scientist,Term Life,$104754,$128592,29 years,$33417,Term Life,No,Single,2,No,2024-05-16
Clint Barton,732,Pending,Reviewer_5,2024-05-15,34,Doctor,Critical Illness,$969695,$50348,10 years,$12725,Term Life,No,Married,5,Yes,2024-10-06
Bruce Banner,717,Pending,Reviewer_3,2023-01-29,54,CEO,Term Life,$962911,$42014,29 years,$47027,Term Life,Yes,Married,4,No,2024-09-18
Tony Stark,673,Declined,Reviewer_3,2024-04-22,26,Engineer,Life,$865106,$127534,30 years,$1819,Whole Life,No,Single,5,No,2024-10-10
Natasha Romanoff,652,Approved,Reviewer_1,2023-04-15,46,Teacher,Critical Illness,$503098,$66429,22 years,$26819,Whole Life,No,Married,1,Yes,2024-08-19
Steve Rogers,687,Declined,Reviewer_3,2023-04-03,45,Scientist,Critical Illness,$929810,$133530,11 years,$43830,Term Life,Yes,Married,3,No,2024-12-09
Clint Barton,777,Approved,Reviewer_4,2024-11-09,47,Teacher,Term Life,$909310,$40224,28 years,$40368,Term Life,No,Single,0,No,2024-04-27
Clint Barton,752,Declined,Reviewer_4,2023-03-23,42,Engineer,Life,$673981,$78671,28 years,$2121,Whole Life,Yes,Single,5,No,2024-03-20
Natasha Romanoff,761,Pending,Reviewer_3,2023-02-19,33,Doctor,Health,$729560,$50454,26 years,$13571,Whole Life,No,Married,3,No,2024-07-29
Clint Barton,708,Approved,Reviewer_5,2023-11-28,35,CEO,Health,$916990,$78862,29 years,$5949,Whole Life,No,Married,5,Yes,2024-11-09
Tony Stark,779,Declined,Reviewer_2,2024-07-20,26,CEO,Term Life,$988072,$135964,26 years,$19626,Whole Life,Yes,Married,2,Yes,2024-02-10
Steve Rogers,698,Approved,Reviewer_2,2024-11-15,22,Doctor,Term Life,$702276,$136634,25 years,$39368,Term Life,No,Married,0,Yes,2024-09-26
Natasha Romanoff,783,Declined,Reviewer_3,2024-10-19,52,Teacher,Critical Illness,$442727,$135288,22 years,$33239,Whole Life,No,Married,0,No,2024-05-30
Natasha Romanoff,763,Needs Info,Reviewer_2,2024-03-19,54,Doctor,Critical Illness,$603678,$111824,18 years,$3684,Whole Life,No,Single,2,Yes,2024-03-09
Steve Rogers,712,Declined,Reviewer_4,2023-08-23,65,Engineer,Critical Illness,$985074,$117126,28 years,$19231,Whole Life,No,Married,4,Yes,2024-09-28
Tony Stark,620,Approved,Reviewer_2,2023-01-06,45,CEO,Life,$244496,$100619,19 years,$1635,Term Life,No,Single,4,Yes,2024-07-07
Bruce Banner,784,Approved,Reviewer_5,2024-03-25,20,CEO,Critical Illness,$585110,$30396,13 years,$41887,Whole Life,No,Married,5,Yes,2024-03-30
Steve Rogers,683,Pending,Reviewer_5,2024-04-10,65,Teacher,Term Life,$572275,$58894,13 years,$8509,Term Life,Yes,Married,2,Yes,2024-04-10
Natasha Romanoff,734,Declined,Reviewer_3,2024-04-08,39,Doctor,Critical Illness,$344787,$43880,28 years,$19688,Whole Life,No,Single,4,No,2024-01-03
Natasha Romanoff,669,Declined,Reviewer_4,2023-07-10,53,Teacher,Critical Illness,$418206,$43048,17 years,$19571,Whole Life,Yes,Single,0,No,2024-02-08
Clint Barton,687,Pending,Reviewer_4,2023-10-28,53,CEO,Life,$289453,$61939,23 years,$7446,Whole Life,No,Married,4,Yes,2024-05-31
Bruce Banner,703,Declined,Reviewer_1,2024-08-25,33,Scientist,Health,$562513,$138595,25 years,$1311,Term Life,No,Married,3,Yes,2024-10-12
Natasha Romanoff,716,Declined,Reviewer_3,2023-11-27,65,Teacher,Life,$539390,$102214,30 years,$36792,Whole Life,No,Married,4,Yes,2024-06-16
Tony Stark,784,Approved,Reviewer_1,2024-11-03,62,CEO,Life,$567735,$138272,25 years,$26697,Term Life,Yes,Single,1,No,2024-08-20
Tony Stark,781,Needs Info,Reviewer_4,2023-12-09,48,CEO,Term Life,$318077,$141957,21 years,$3719,Whole Life,No,Married,0,No,2024-08-10
Tony Stark,764,Approved,Reviewer_1,2024-08-31,39,Doctor,Critical Illness,$318938,$79941,23 years,$14440,Whole Life,No,Married,3,Yes,2024-12-26
Tony Stark,719,Approved,Reviewer_1,2024-05-08,65,Teacher,Term Life,$441790,$31829,19 years,$23407,Whole Life,Yes,Single,3,Yes,2024-04-13
Tony Stark,796,Pending,Reviewer_4,2023-04-11,63,Teacher,Life,$624416,$112569,27 years,$40406,Whole Life,Yes,Single,2,No,2024-01-02
Tony Stark,743,Approved,Reviewer_4,2023-12-04,23,CEO,Term Life,$889321,$90580,13 years,$16394,Term Life,Yes,Married,4,No,2024-11-25
Natasha Romanoff,736,Needs Info,Reviewer_1,2023-03-12,29,Scientist,Critical Illness,$967415,$102682,15 years,$1649,Whole Life,No,Single,0,No,2024-04-12
Tony Stark,652,Pending,Reviewer_2,2023-06-03,33,Engineer,Term Life,$339219,$126859,11 years,$20286,Term Life,No,Single,1,No,2024-04-16
Clint Barton,771,Pending,Reviewer_2,2023-01-11,49,Scientist,Term Life,$367092,$132246,25 years,$1431,Whole Life,Yes,Single,2,Yes,2024-08-08
Steve Rogers,606,Declined,Reviewer_1,2023-03-27,49,Scientist,Health,$700982,$46277,16 years,$29511,Term Life,Yes,Married,5,Yes,2024-05-06
Bruce Banner,625,Approved,Reviewer_3,2023-09-14,57,Engineer,Health,$598786,$103960,20 years,$14604,Term Life,Yes,Married,5,Yes,2024-04-30
Tony Stark,693,Pending,Reviewer_3,2023-09-15,65,Teacher,Critical Illness,$562446,$48673,25 years,$40691,Term Life,No,Single,3,No,2024-10-18
Clint Barton,693,Declined,Reviewer_3,2024-09-22,61,Scientist,Health,$812413,$46055,23 years,$31745,Term Life,Yes,Married,5,No,2024-09-07
Natasha Romanoff,785,Approved,Reviewer_3,2023-10-26,50,Engineer,Life,$871705,$81293,19 years,$6848,Whole Life,Yes,Single,1,No,2024-09-08
Natasha Romanoff,698,Declined,Reviewer_4,2023-04-27,23,CEO,Life,$683618,$67427,27 years,$21036,Whole Life,No,Married,3,No,2024-06-14
Tony Stark,727,Needs Info,Reviewer_2,2024-07-23,61,CEO,Critical Illness,$934796,$103744,25 years,$45826,Whole Life,Yes,Single,5,No,2024-12-26
Bruce Banner,764,Needs Info,Reviewer_1,2024-11-22,59,Doctor,Critical Illness,$474633,$146785,28 years,$18788,Term Life,No,Single,3,No,2024-06-18
Steve Rogers,690,Needs Info,Reviewer_1,2023-09-12,45,Scientist,Critical Illness,$320619,$58196,11 years,$12640,Whole Life,Yes,Married,3,No,2024-10-25
Bruce Banner,738,Approved,Reviewer_1,2023-07-01,48,Teacher,Critical Illness,$846917,$149881,14 years,$8843,Whole Life,No,Married,0,Yes,2024-02-19
Tony Stark,699,Approved,Reviewer_5,2023-03-22,27,Doctor,Critical Illness,$338292,$74666,17 years,$2830,Term Life,No,Single,3,Yes,2024-09-07
Bruce Banner,783,Declined,Reviewer_4,2024-12-18,61,CEO,Critical Illness,$314030,$102897,10 years,$40602,Whole Life,Yes,Married,5,No,2024-12-05
Natasha Romanoff,652,Approved,Reviewer_1,2023-03-29,64,Teacher,Life,$501186,$78581,30 years,$14482,Term Life,No,Married,1,No,2024-07-20
Steve Rogers,691,Approved,Reviewer_4,2024-11-21,52,CEO,Term Life,$891601,$144088,14 years,$48936,Term Life,Yes,Single,0,Yes,2024-01-31
Steve Rogers,695,Pending,Reviewer_4,2023-03-26,27,Engineer,Health,$114398,$55225,30 years,$40665,Term Life,Yes,Single,4,Yes,2024-08-31
Steve Rogers,667,Pending,Reviewer_3,2023-07-16,20,CEO,Term Life,$128498,$63248,12 years,$27366,Whole Life,No,Married,2,No,2024-08-11
Natasha Romanoff,640,Declined,Reviewer_4,2024-12-26,55,Engineer,Term Life,$688411,$80601,12 years,$36186,Whole Life,Yes,Single,0,Yes,2024-01-26
Steve Rogers,723,Pending,Reviewer_2,2023-07-14,46,Doctor,Critical Illness,$689054,$63226,25 years,$31217,Term Life,Yes,Single,3,No,2024-02-13
Natasha Romanoff,794,Declined,Reviewer_3,2023-07-24,51,Scientist,Term Life,$321745,$42908,25 years,$14386,Whole Life,Yes,Married,5,No,2024-04-27
Tony Stark,785,Declined,Reviewer_2,2023-12-07,57,Engineer,Life,$155105,$148488,28 years,$9159,Term Life,No,Single,0,Yes,2024-04-22
Tony Stark,620,Needs Info,Reviewer_3,2024-05-08,25,Engineer,Term Life,$332590,$122495,25 years,$24611,Term Life,Yes,Married,5,Yes,2024-06-27
Bruce Banner,757,Declined,Reviewer_5,2024-06-19,28,Teacher,Term Life,$600268,$123788,26 years,$27162,Whole Life,No,Married,3,No,2024-06-20
Steve Rogers,716,Pending,Reviewer_2,2023-11-19,38,Teacher,Critical Illness,$278160,$117226,11 years,$11022,Whole Life,Yes,Married,5,Yes,2024-03-18
Natasha Romanoff,618,Declined,Reviewer_5,2024-01-04,32,Engineer,Health,$303764,$124413,10 years,$48728,Whole Life,No,Single,1,Yes,2024-04-08
Clint Barton,748,Declined,Reviewer_4,2023-09-29,54,Doctor,Critical Illness,$197066,$81502,27 years,$34715,Term Life,Yes,Married,2,No,2024-04-06
Clint Barton,718,Needs Info,Reviewer_4,2023-07-05,62,Engineer,Critical Illness,$820041,$143566,21 years,$41120,Whole Life,Yes,Single,3,Yes,2024-12-02
Tony Stark,756,Pending,Reviewer_5,2023-07-22,22,Doctor,Term Life,$219288,$107546,17 years,$33088,Term Life,No,Married,4,Yes,2024-02-16
Clint Barton,662,Declined,Reviewer_5,2023-03-19,20,Scientist,Life,$697054,$47641,11 years,$33836,Term Life,Yes,Single,0,No,2024-03-30
Natasha Romanoff,711,Needs Info,Reviewer_1,2024-11-14,45,Scientist,Health,$346144,$106385,15 years,$11888,Term Life,No,Married,2,No,2024-06-22
Natasha Romanoff,657,Declined,Reviewer_2,2024-05-19,28,Scientist,Life,$165318,$127379,26 years,$3201,Term Life,Yes,Single,0,Yes,2024-10-01
Clint Barton,701,Needs Info,Reviewer_3,2023-04-08,30,CEO,Life,$864425,$68831,25 years,$46574,Term Life,No,Married,4,No,2024-06-09
Bruce Banner,623,Approved,Reviewer_4,2024-02-03,28,CEO,Term Life,$642216,$55190,18 years,$8118,Whole Life,Yes,Single,5,No,2024-02-07
Tony Stark,632,Pending,Reviewer_3,2024-05-28,45,Teacher,Critical Illness,$491757,$79835,17 years,$15991,Whole Life,Yes,Married,5,Yes,2024-12-13
Natasha Romanoff,680,Pending,Reviewer_1,2023-08-16,39,Teacher,Health,$809922,$57104,25 years,$48938,Term Life,Yes,Single,2,Yes,2024-07-20
Bruce Banner,655,Needs Info,Reviewer_3,2024-11-18,54,Scientist,Life,$790952,$128700,10 years,$40090,Term Life,Yes,Married,5,No,2024-05-24
Steve Rogers,610,Declined,Reviewer_4,2024-06-18,43,Doctor,Life,$380510,$58168,21 years,$18594,Whole Life,No,Married,5,No,2024-03-28
Tony Stark,611,Pending,Reviewer_1,2024-06-01,63,CEO,Term Life,$571097,$42811,30 years,$20894,Term Life,No,Single,5,Yes,2024-07-05
Tony Stark,751,Needs Info,Reviewer_5,2023-06-18,46,Doctor,Term Life,$738527,$133210,16 years,$42054,Term Life,No,Married,4,Yes,2024-07-01
Steve Rogers,681,Needs Info,Reviewer_4,2024-03-13,50,Teacher,Critical Illness,$189875,$103108,18 years,$28633,Term Life,Yes,Married,4,Yes,2024-11-22
Clint Barton,627,Needs Info,Reviewer_5,2023-12-25,28,Engineer,Term Life,$684290,$149078,14 years,$49444,Whole Life,No,Single,3,No,2024-06-03
Clint Barton,710,Pending,Reviewer_2,2023-11-23,45,Engineer,Critical Illness,$395348,$105154,23 years,$19582,Whole Life,No,Single,5,Yes,2024-11-19
Bruce Banner,629,Declined,Reviewer_1,2024-02-22,38,Doctor,Term Life,$612404,$92936,22 years,$19446,Whole Life,Yes,Single,4,Yes,2024-05-10
Tony Stark,705,Declined,Reviewer_3,2023-02-21,63,Doctor,Term Life,$248116,$148176,17 years,$46423,Whole Life,No,Single,0,Yes,2024-05-08
Tony Stark,666,Approved,Reviewer_3,2023-02-18,25,CEO,Critical Illness,$908154,$80386,10 years,$32889,Term Life,Yes,Single,1,No,2024-10-01
Natasha Romanoff,717,Needs Info,Reviewer_2,2024-03-05,21,Scientist,Health,$835357,$30628,29 years,$16019,Whole Life,No,Single,0,Yes,2024-12-07
Natasha Romanoff,634,Pending,Reviewer_3,2023-02-05,45,Teacher,Life,$122125,$146329,20 years,$7815,Whole Life,No,Married,5,No,2024-04-12
Bruce Banner,656,Declined,Reviewer_1,2023-02-14,54,Scientist,Critical Illness,$779631,$41189,22 years,$2755,Whole Life,Yes,Single,3,No,2024-06-30
Bruce Banner,765,Pending,Reviewer_5,2024-03-03,20,Engineer,Term Life,$280484,$46797,20 years,$38655,Term Life,No,Married,2,Yes,2024-06-09
Tony Stark,761,Needs Info,Reviewer_5,2023-02-01,48,Scientist,Critical Illness,$209109,$117387,22 years,$33796,Term Life,No,Married,3,No,2024-09-24
Steve Rogers,749,Declined,Reviewer_3,2024-12-29,25,Doctor,Term Life,$282427,$30117,13 years,$42901,Term Life,No,Married,4,No,2024-02-04
Bruce Banner,783,Needs Info,Reviewer_1,2023-12-09,57,Doctor,Health,$186681,$122575,10 years,$36556,Whole Life,No,Single,0,Yes,2024-07-14
Steve Rogers,637,Needs Info,Reviewer_5,2024-11-30,61,Engineer,Term Life,$101067,$109668,18 years,$20474,Whole Life,No,Married,1,Yes,2024-05-09
Steve Rogers,687,Approved,Reviewer_2,2023-09-24,44,Teacher,Critical Illness,$498534,$56348,15 years,$37594,Term Life,No,Single,0,Yes,2024-10-28
Tony Stark,729,Pending,Reviewer_1,2024-11-27,64,Engineer,Life,$625627,$44498,30 years,$46709,Whole Life,No,Single,5,Yes,2024-03-22
Steve Rogers,798,Needs Info,Reviewer_3,2024-02-27,55,CEO,Health,$446358,$59369,18 years,$36890,Whole Life,No,Married,5,No,2024-07-07
Steve Rogers,691,Needs Info,Reviewer_3,2023-04-15,21,Teacher,Health,$994958,$129325,22 years,$38862,Whole Life,Yes,Married,3,No,2024-09-09
Clint Barton,647,Needs Info,Reviewer_4,2024-12-23,24,Engineer,Life,$241581,$63479,30 years,$31940,Term Life,Yes,Single,1,No,2024-10-27
Clint Barton,736,Pending,Reviewer_5,2023-12-01,20,CEO,Health,$618250,$89145,28 years,$34821,Term Life,No,Single,3,No,2024-07-11
Clint Barton,752,Pending,Reviewer_4,2023-12-03,41,Engineer,Critical Illness,$248698,$91707,18 years,$38037,Term Life,Yes,Single,0,No,2024-01-02
Steve Rogers,709,Declined,Reviewer_5,2024-11-25,35,CEO,Term Life,$763094,$45003,29 years,$37458,Term Life,No,Married,4,No,2024-10-01
Steve Rogers,675,Pending,Reviewer_2,2024-05-08,47,Engineer,Life,$593271,$75202,13 years,$42312,Whole Life,No,Married,5,Yes,2024-08-31
Clint Barton,737,Declined,Reviewer_2,2023-06-09,30,Teacher,Term Life,$604446,$131714,12 years,$47101,Term Life,Yes,Married,2,No,2024-11-09
Clint Barton,783,Needs Info,Reviewer_2,2024-01-22,58,Teacher,Term Life,$855037,$139100,25 years,$23159,Term Life,No,Married,5,No,2024-03-28
Bruce Banner,630,Approved,Reviewer_3,2024-11-11,53,Scientist,Health,$336162,$105399,26 years,$34218,Whole Life,Yes,Married,1,No,2024-12-11
Steve Rogers,623,Approved,Reviewer_2,2023-05-15,46,Scientist,Critical Illness,$413500,$149124,23 years,$31119,Whole Life,No,Single,0,Yes,2024-01-08
Bruce Banner,748,Needs Info,Reviewer_4,2024-03-17,23,Teacher,Life,$689820,$68511,19 years,$4039,Whole Life,No,Married,1,No,2024-11-16
Bruce Banner,760,Declined,Reviewer_1,2024-09-19,51,CEO,Critical Illness,$246552,$134107,12 years,$47814,Whole Life,No,Married,4,No,2024-10-03
Tony Stark,651,Pending,Reviewer_2,2024-04-01,40,Doctor,Health,$852444,$65818,18 years,$13255,Term Life,Yes,Single,4,No,2024-07-20
Tony Stark,724,Pending,Reviewer_4,2023-06-14,23,Scientist,Life,$717529,$49478,17 years,$31105,Term Life,Yes,Married,3,Yes,2024-09-04
Clint Barton,610,Pending,Reviewer_1,2024-10-10,21,Engineer,Term Life,$261488,$34137,19 years,$46387,Whole Life,Yes,Single,1,Yes,2024-10-02
Clint Barton,789,Pending,Reviewer_1,2023-01-27,50,CEO,Health,$556363,$91514,11 years,$17162,Term Life,No,Single,2,Yes,2024-06-10
Tony Stark,705,Approved,Reviewer_3,2023-05-23,34,Engineer,Health,$857947,$82997,12 years,$9822,Whole Life,Yes,Single,0,Yes,2024-09-30
Bruce Banner,609,Needs Info,Reviewer_3,2024-09-24,37,Scientist,Health,$114211,$114413,27 years,$28524,Term Life,Yes,Married,5,Yes,2024-06-08
Tony Stark,645,Approved,Reviewer_5,2024-12-22,35,Engineer,Term Life,$373069,$77419,18 years,$33185,Term Life,Yes,Married,0,Yes,2024-07-05
Steve Rogers,742,Needs Info,Reviewer_4,2023-10-11,27,Scientist,Term Life,$204438,$85452,24 years,$3465,Whole Life,No,Single,5,Yes,2024-06-22
Steve Rogers,756,Pending,Reviewer_1,2024-09-24,64,CEO,Term Life,$213566,$142710,16 years,$49625,Term Life,Yes,Single,2,Yes,2024-08-15
Clint Barton,669,Pending,Reviewer_3,2024-04-28,33,Teacher,Life,$194324,$39226,25 years,$41074,Term Life,No,Single,3,Yes,2024-02-28
Natasha Romanoff,616,Needs Info,Reviewer_1,2023-10-10,48,Engineer,Health,$470281,$84603,12 years,$20574,Whole Life,No,Married,2,Yes,2024-07-29
Steve Rogers,785,Pending,Reviewer_2,2024-02-04,48,Scientist,Critical Illness,$286832,$103231,16 years,$26029,Whole Life,Yes,Single,4,Yes,2024-04-10
Natasha Romanoff,789,Approved,Reviewer_2,2024-04-30,21,Scientist,Health,$804094,$114284,21 years,$15129,Whole Life,Yes,Married,4,Yes,2024-11-23
Clint Barton,736,Needs Info,Reviewer_4,2023-03-30,50,Engineer,Health,$535091,$143348,29 years,$38353,Term Life,No,Single,5,No,2024-06-08
Tony Stark,724,Approved,Reviewer_4,2023-01-19,30,Engineer,Life,$944475,$120425,15 years,$9550,Whole Life,No,Single,0,No,2024-09-26
Clint Barton,798,Declined,Reviewer_3,2023-05-15,34,Scientist,Critical Illness,$993214,$45898,24 years,$12497,Term Life,Yes,Single,0,No,2024-11-03
Bruce Banner,764,Declined,Reviewer_1,2024-03-05,20,Doctor,Life,$830396,$132120,30 years,$49258,Whole Life,No,Married,3,Yes,2024-11-30
Natasha Romanoff,609,Declined,Reviewer_1,2024-04-28,33,Engineer,Life,$912316,$135314,28 years,$27550,Whole Life,Yes,Married,4,Yes,2024-10-04
Bruce Banner,782,Needs Info,Reviewer_2,2023-11-24,56,CEO,Critical Illness,$932158,$136624,19 years,$22255,Term Life,No,Married,5,No,2024-10-20
Tony Stark,688,Approved,Reviewer_3,2023-11-20,35,Doctor,Health,$508191,$127109,13 years,$6716,Term Life,No,Married,1,Yes,2024-04-03
Bruce Banner,760,Pending,Reviewer_4,2023-03-27,25,Engineer,Life,$393198,$108138,12 years,$41758,Term Life,Yes,Single,0,No,2024-12-15
Clint Barton,683,Approved,Reviewer_3,2024-09-02,21,Scientist,Health,$185669,$32387,21 years,$3163,Term Life,Yes,Married,2,Yes,2024-02-11
Tony Stark,698,Declined,Reviewer_2,2023-11-13,29,Engineer,Critical Illness,$361283,$122272,12 years,$13030,Whole Life,No,Married,2,Yes,2024-01-02
Clint Barton,733,Approved,Reviewer_2,2023-03-07,42,Scientist,Life,$705719,$86509,11 years,$26783,Whole Life,No,Single,5,No,2024-11-09
Steve Rogers,622,Pending,Reviewer_4,2024-11-16,46,Engineer,Critical Illness,$366545,$149117,29 years,$2412,Term Life,Yes,Married,2,Yes,2024-03-04
Natasha Romanoff,750,Approved,Reviewer_5,2024-06-06,62,CEO,Health,$112082,$61266,15 years,$34919,Term Life,Yes,Married,5,No,2024-08-24
Clint Barton,792,Approved,Reviewer_5,2023-10-14,49,Scientist,Term Life,$879416,$53962,13 years,$2402,Term Life,No,Married,0,Yes,2024-08-07
Bruce Banner,681,Pending,Reviewer_3,2024-11-11,51,Teacher,Critical Illness,$495998,$92645,15 years,$4429,Whole Life,No,Married,5,Yes,2024-04-27
Natasha Romanoff,786,Declined,Reviewer_2,2023-02-23,48,CEO,Life,$315515,$51885,16 years,$7555,Whole Life,No,Single,1,Yes,2024-07-06
Tony Stark,719,Needs Info,Reviewer_3,2024-06-19,65,Engineer,Term Life,$976634,$53913,28 years,$25539,Whole Life,Yes,Married,5,Yes,2024-01-06
Bruce Banner,782,Pending,Reviewer_2,2023-08-10,39,Teacher,Term Life,$909237,$121151,23 years,$5293,Whole Life,Yes,Single,4,Yes,2024-11-05
Bruce Banner,728,Pending,Reviewer_4,2024-12-08,62,Teacher,Critical Illness,$683757,$138807,28 years,$35786,Term Life,Yes,Single,3,Yes,2024-10-11
Steve Rogers,771,Needs Info,Reviewer_5,2023-10-03,35,CEO,Term Life,$646600,$82697,24 years,$12548,Term Life,No,Single,2,Yes,2024-01-20
Steve Rogers,743,Needs Info,Reviewer_1,2023-10-30,65,Scientist,Critical Illness,$439443,$49398,21 years,$12414,Term Life,Yes,Married,1,Yes,2024-10-04
Clint Barton,645,Declined,Reviewer_1,2024-12-06,22,Doctor,Life,$440110,$121693,20 years,$41383,Whole Life,No,Single,5,Yes,2024-02-07
Tony Stark,614,Pending,Reviewer_3,2023-12-10,51,Teacher,Critical Illness,$131651,$100766,29 years,$48953,Term Life,Yes,Married,4,Yes,2024-11-23
Clint Barton,613,Approved,Reviewer_1,2024-01-05,49,Engineer,Critical Illness,$236212,$90030,25 years,$22847,Whole Life,No,Single,4,No,2024-08-27
Steve Rogers,696,Approved,Reviewer_2,2024-07-13,57,Scientist,Term Life,$691229,$127677,30 years,$17259,Term Life,Yes,Single,5,Yes,2024-03-09
Bruce Banner,738,Approved,Reviewer_4,2024-12-30,31,Teacher,Term Life,$776735,$106307,23 years,$34385,Whole Life,Yes,Single,3,No,2024-05-11
Clint Barton,770,Approved,Reviewer_2,2023-11-13,42,CEO,Health,$959400,$68439,21 years,$4309,Term Life,Yes,Married,0,Yes,2024-12-08
Steve Rogers,643,Pending,Reviewer_4,2023-08-11,42,Doctor,Critical Illness,$343062,$91867,29 years,$24798,Term Life,Yes,Single,5,No,2024-02-08
Steve Rogers,727,Pending,Reviewer_1,2024-01-29,31,Doctor,Health,$531755,$94271,17 years,$28921,Term Life,No,Single,3,No,2024-07-15
Bruce Banner,610,Needs Info,Reviewer_5,2023-08-21,33,Teacher,Health,$443333,$70214,19 years,$44295,Whole Life,No,Married,1,Yes,2024-04-17
Steve Rogers,722,Declined,Reviewer_4,2024-01-03,42,Teacher,Term Life,$993530,$121088,23 years,$4293,Term Life,Yes,Married,2,Yes,2024-04-26
Natasha Romanoff,612,Declined,Reviewer_5,2023-10-03,52,Doctor,Term Life,$435493,$101768,26 years,$40068,Whole Life,Yes,Single,2,Yes,2024-07-12
Bruce Banner,627,Approved,Reviewer_4,2023-09-06,59,CEO,Health,$295787,$111800,24 years,$26182,Whole Life,No,Single,1,Yes,2024-06-02
Tony Stark,754,Pending,Reviewer_1,2023-07-16,56,Scientist,Life,$929467,$52175,22 years,$7097,Term Life,No,Single,1,Yes,2024-06-25
Steve Rogers,733,Needs Info,Reviewer_4,2023-05-29,51,Scientist,Term Life,$682366,$88089,27 years,$32922,Term Life,No,Single,1,Yes,2024-06-10
Steve Rogers,738,Declined,Reviewer_1,2024-07-08,48,Teacher,Health,$904583,$137570,12 years,$32286,Whole Life,Yes,Single,1,Yes,2024-05-19
