applicationId,name,coverageType,underwritingStatus,riskAssessment,underwriterName,medicalUnderwritingStatus,finalPremium,policyApprovalStatus,medicalExamsRequired,riskAdjustment
A37375,Bruce Banner,Term Life,Approved,Low,Underwriter_1,Completed,$9503,Pending,Yes,Standard premium
A28940,Tony Stark,Critical Illness,Declined,Low,Underwriter_1,Pending,$5157,Approved,Yes,Increased premium due to high risk
A86363,Bruce Banner,Critical Illness,Declined,High,Underwriter_3,Pending,$14249,Approved,No,Standard premium
A16025,Natasha Romanoff,Health,Pending,High,Underwriter_4,Pending,$31745,Approved,No,Standard premium
A34715,Tony Stark,Life,Pending,High,Underwriter_5,Completed,$13164,Pending,Yes,Increased premium due to high risk
A36869,Bruce Banner,Term Life,Pending,Medium,Underwriter_1,Completed,$40838,Rejected,No,Increased premium due to high risk
A63124,Bruce Banner,Critical Illness,Pending,High,Underwriter_2,Completed,$26227,Pending,Yes,Standard premium
A61190,Natasha Romanoff,Term Life,Approved,Low,Underwriter_2,Completed,$41545,Pending,Yes,Increased premium due to high risk
A78880,Clint Barton,Term Life,Declined,High,Underwriter_1,Completed,$26878,Approved,Yes,Standard premium
A91551,Natasha Romanoff,Critical Illness,Approved,High,Underwriter_4,Not Required,$5054,Approved,No,Standard premium
A67246,Natasha Romanoff,Term Life,Approved,High,Underwriter_4,Pending,$13000,Pending,Yes,Increased premium due to high risk
A29602,Steve Rogers,Term Life,Declined,High,Underwriter_1,Completed,$48851,Rejected,No,Standard premium
A38677,Bruce Banner,Health,Declined,High,Underwriter_1,Not Required,$46142,Rejected,Yes,Standard premium
A18413,Natasha Romanoff,Term Life,Approved,High,Underwriter_2,Not Required,$19544,Approved,Yes,Standard premium
A27683,Tony Stark,Critical Illness,Declined,Medium,Underwriter_4,Pending,$32056,Pending,No,Standard premium
A26336,Clint Barton,Life,Declined,High,Underwriter_3,Not Required,$36505,Approved,No,Standard premium
A43362,Clint Barton,Health,Declined,High,Underwriter_1,Not Required,$29359,Pending,Yes,Standard premium
A81910,Natasha Romanoff,Health,Approved,Low,Underwriter_3,Pending,$49662,Pending,Yes,Increased premium due to high risk
A89182,Natasha Romanoff,Health,Approved,High,Underwriter_4,Pending,$36133,Pending,No,Increased premium due to high risk
A88291,Steve Rogers,Health,Approved,High,Underwriter_4,Completed,$25432,Approved,No,Increased premium due to high risk
A49858,Steve Rogers,Health,Pending,Medium,Underwriter_4,Completed,$25494,Approved,Yes,Standard premium
A60653,Clint Barton,Life,Declined,Medium,Underwriter_4,Pending,$18453,Pending,No,Increased premium due to high risk
A24536,Tony Stark,Life,Pending,High,Underwriter_2,Not Required,$49097,Rejected,Yes,Increased premium due to high risk
A60371,Natasha Romanoff,Critical Illness,Declined,Low,Underwriter_3,Pending,$16094,Pending,Yes,Standard premium
A23467,Steve Rogers,Term Life,Declined,Low,Underwriter_4,Pending,$42772,Pending,No,Standard premium
A49269,Clint Barton,Critical Illness,Declined,Medium,Underwriter_1,Completed,$25508,Rejected,No,Standard premium
A32058,Steve Rogers,Critical Illness,Pending,Medium,Underwriter_5,Completed,$45085,Approved,No,Standard premium
A14105,Steve Rogers,Critical Illness,Declined,Medium,Underwriter_2,Not Required,$16856,Pending,No,Standard premium
A81538,Tony Stark,Term Life,Pending,Medium,Underwriter_2,Pending,$36435,Approved,Yes,Increased premium due to high risk
A75628,Tony Stark,Critical Illness,Pending,Low,Underwriter_2,Not Required,$8850,Approved,Yes,Standard premium
A30371,Tony Stark,Critical Illness,Pending,Low,Underwriter_3,Not Required,$34969,Pending,No,Increased premium due to high risk
A98235,Clint Barton,Health,Approved,Medium,Underwriter_5,Completed,$9311,Rejected,Yes,Standard premium
A40494,Tony Stark,Health,Declined,High,Underwriter_1,Pending,$5033,Rejected,No,Standard premium
A68879,Natasha Romanoff,Critical Illness,Approved,Medium,Underwriter_1,Pending,$18961,Pending,Yes,Increased premium due to high risk
A43677,Bruce Banner,Term Life,Approved,Medium,Underwriter_2,Pending,$46907,Rejected,Yes,Increased premium due to high risk
A22086,Natasha Romanoff,Health,Declined,Low,Underwriter_4,Completed,$18417,Pending,No,Standard premium
A34052,Natasha Romanoff,Health,Pending,Medium,Underwriter_4,Completed,$18492,Pending,Yes,Increased premium due to high risk
A85222,Natasha Romanoff,Critical Illness,Pending,Medium,Underwriter_3,Pending,$5335,Rejected,No,Increased premium due to high risk
A55209,Natasha Romanoff,Term Life,Approved,Low,Underwriter_1,Completed,$49891,Approved,No,Increased premium due to high risk
A44999,Steve Rogers,Life,Pending,Low,Underwriter_3,Completed,$6810,Pending,Yes,Standard premium
A61730,Clint Barton,Health,Declined,High,Underwriter_1,Completed,$45892,Pending,No,Standard premium
A96861,Tony Stark,Health,Pending,Medium,Underwriter_1,Not Required,$16213,Pending,Yes,Increased premium due to high risk
A22365,Natasha Romanoff,Term Life,Declined,High,Underwriter_3,Completed,$21671,Pending,Yes,Increased premium due to high risk
A12645,Tony Stark,Term Life,Approved,Low,Underwriter_2,Pending,$33990,Rejected,No,Standard premium
A39845,Tony Stark,Health,Pending,High,Underwriter_4,Pending,$5317,Rejected,Yes,Increased premium due to high risk
A50426,Steve Rogers,Critical Illness,Pending,Medium,Underwriter_2,Completed,$24069,Pending,Yes,Standard premium
A81096,Tony Stark,Term Life,Declined,Low,Underwriter_2,Pending,$35264,Approved,No,Increased premium due to high risk
A44473,Steve Rogers,Term Life,Pending,High,Underwriter_2,Not Required,$47684,Rejected,Yes,Standard premium
A80664,Bruce Banner,Term Life,Approved,Low,Underwriter_5,Not Required,$26790,Approved,Yes,Increased premium due to high risk
A66285,Tony Stark,Life,Declined,Low,Underwriter_4,Not Required,$20470,Rejected,Yes,Increased premium due to high risk
A91989,Clint Barton,Critical Illness,Pending,Medium,Underwriter_5,Completed,$17474,Rejected,No,Increased premium due to high risk
A64644,Steve Rogers,Term Life,Approved,Medium,Underwriter_2,Pending,$39583,Rejected,Yes,Increased premium due to high risk
A21680,Steve Rogers,Term Life,Approved,High,Underwriter_2,Not Required,$29006,Pending,No,Standard premium
A89642,Natasha Romanoff,Term Life,Pending,High,Underwriter_4,Completed,$6548,Rejected,No,Standard premium
A20017,Natasha Romanoff,Term Life,Approved,Low,Underwriter_1,Completed,$28078,Pending,No,Increased premium due to high risk
A52911,Clint Barton,Health,Pending,High,Underwriter_4,Not Required,$47312,Pending,No,Increased premium due to high risk
A68626,Natasha Romanoff,Health,Pending,High,Underwriter_3,Pending,$21997,Approved,No,Standard premium
A67687,Tony Stark,Health,Pending,Medium,Underwriter_3,Completed,$17761,Pending,No,Standard premium
A26045,Steve Rogers,Term Life,Declined,Medium,Underwriter_1,Not Required,$19099,Rejected,No,Increased premium due to high risk
A40411,Steve Rogers,Life,Approved,High,Underwriter_5,Pending,$33041,Pending,No,Increased premium due to high risk
A12351,Clint Barton,Term Life,Approved,Medium,Underwriter_3,Pending,$6841,Pending,Yes,Increased premium due to high risk
A85645,Tony Stark,Critical Illness,Pending,Medium,Underwriter_4,Pending,$40049,Rejected,Yes,Increased premium due to high risk
A42738,Tony Stark,Health,Pending,High,Underwriter_5,Pending,$20555,Pending,Yes,Increased premium due to high risk
A31130,Natasha Romanoff,Life,Approved,Medium,Underwriter_5,Pending,$14805,Rejected,No,Standard premium
A60137,Clint Barton,Critical Illness,Pending,Low,Underwriter_5,Pending,$7708,Pending,No,Increased premium due to high risk
A16594,Clint Barton,Health,Declined,High,Underwriter_1,Not Required,$26801,Pending,No,Standard premium
A81745,Tony Stark,Health,Approved,Low,Underwriter_2,Pending,$41631,Rejected,Yes,Standard premium
A33142,Tony Stark,Health,Approved,Medium,Underwriter_5,Not Required,$8400,Pending,No,Increased premium due to high risk
A56010,Clint Barton,Life,Approved,Medium,Underwriter_4,Completed,$39568,Rejected,Yes,Increased premium due to high risk
A99695,Clint Barton,Health,Approved,High,Underwriter_2,Pending,$42855,Approved,No,Standard premium
A13829,Tony Stark,Health,Approved,High,Underwriter_3,Not Required,$48541,Rejected,No,Standard premium
A62323,Bruce Banner,Term Life,Declined,Medium,Underwriter_2,Pending,$18070,Rejected,Yes,Increased premium due to high risk
A35005,Tony Stark,Health,Declined,Medium,Underwriter_4,Not Required,$16822,Approved,Yes,Increased premium due to high risk
A22709,Tony Stark,Health,Declined,Low,Underwriter_3,Completed,$35664,Rejected,No,Increased premium due to high risk
A47282,Clint Barton,Term Life,Pending,Low,Underwriter_3,Not Required,$20907,Pending,No,Standard premium
A97428,Bruce Banner,Term Life,Declined,Medium,Underwriter_2,Pending,$35119,Rejected,Yes,Standard premium
A49688,Bruce Banner,Health,Approved,High,Underwriter_5,Completed,$36431,Rejected,Yes,Increased premium due to high risk
A94831,Clint Barton,Life,Approved,Medium,Underwriter_4,Not Required,$44187,Pending,No,Increased premium due to high risk
A65744,Steve Rogers,Critical Illness,Approved,High,Underwriter_3,Completed,$9200,Approved,Yes,Standard premium
A65787,Clint Barton,Critical Illness,Approved,Low,Underwriter_4,Completed,$7053,Pending,No,Increased premium due to high risk
A26877,Natasha Romanoff,Life,Pending,Medium,Underwriter_2,Completed,$23962,Approved,Yes,Standard premium
A99105,Tony Stark,Life,Pending,Low,Underwriter_4,Not Required,$18647,Pending,Yes,Standard premium
A58299,Natasha Romanoff,Term Life,Declined,High,Underwriter_2,Not Required,$26015,Pending,Yes,Standard premium
A56023,Tony Stark,Health,Declined,Medium,Underwriter_2,Pending,$5924,Rejected,No,Standard premium
A86748,Clint Barton,Life,Approved,Medium,Underwriter_1,Pending,$8629,Rejected,Yes,Standard premium
A21058,Clint Barton,Life,Declined,Medium,Underwriter_4,Not Required,$41906,Pending,Yes,Standard premium
A78702,Bruce Banner,Health,Approved,Low,Underwriter_4,Completed,$38906,Rejected,No,Standard premium
A46784,Bruce Banner,Health,Pending,Medium,Underwriter_1,Pending,$32826,Pending,Yes,Standard premium
A83872,Steve Rogers,Health,Pending,High,Underwriter_2,Completed,$15479,Approved,Yes,Standard premium
A52933,Natasha Romanoff,Critical Illness,Pending,Low,Underwriter_4,Completed,$13496,Rejected,Yes,Standard premium
A82467,Tony Stark,Life,Approved,Medium,Underwriter_5,Completed,$25851,Pending,No,Increased premium due to high risk
A52683,Natasha Romanoff,Health,Pending,Low,Underwriter_4,Completed,$6509,Rejected,No,Increased premium due to high risk
A85865,Bruce Banner,Term Life,Pending,Low,Underwriter_1,Completed,$37424,Approved,Yes,Increased premium due to high risk
A97849,Tony Stark,Term Life,Declined,High,Underwriter_5,Not Required,$38833,Approved,Yes,Increased premium due to high risk
A20816,Tony Stark,Critical Illness,Approved,Medium,Underwriter_1,Completed,$6422,Approved,No,Increased premium due to high risk
A90655,Bruce Banner,Life,Pending,Low,Underwriter_4,Not Required,$27554,Pending,Yes,Standard premium
A11667,Bruce Banner,Life,Approved,Medium,Underwriter_4,Pending,$6442,Rejected,No,Standard premium
A83883,Natasha Romanoff,Critical Illness,Declined,Medium,Underwriter_5,Completed,$25321,Rejected,No,Increased premium due to high risk
A72115,Tony Stark,Health,Approved,High,Underwriter_2,Pending,$30385,Rejected,No,Standard premium
A45464,Steve Rogers,Life,Approved,Low,Underwriter_2,Completed,$35830,Approved,Yes,Standard premium
A53890,Bruce Banner,Life,Declined,Low,Underwriter_5,Pending,$28574,Approved,Yes,Standard premium
A37189,Clint Barton,Term Life,Approved,Medium,Underwriter_5,Completed,$5537,Approved,No,Increased premium due to high risk
A85119,Natasha Romanoff,Critical Illness,Approved,Medium,Underwriter_5,Not Required,$13504,Rejected,No,Standard premium
A61698,Steve Rogers,Health,Approved,Low,Underwriter_2,Not Required,$26668,Approved,Yes,Increased premium due to high risk
A92759,Natasha Romanoff,Health,Approved,High,Underwriter_1,Pending,$25443,Pending,No,Standard premium
A12313,Steve Rogers,Health,Declined,High,Underwriter_3,Not Required,$41199,Rejected,Yes,Increased premium due to high risk
A65969,Natasha Romanoff,Critical Illness,Declined,Medium,Underwriter_2,Not Required,$49058,Rejected,No,Standard premium
A93670,Natasha Romanoff,Health,Declined,High,Underwriter_4,Pending,$25751,Pending,No,Standard premium
A52214,Steve Rogers,Health,Declined,High,Underwriter_3,Not Required,$42066,Pending,Yes,Increased premium due to high risk
A72807,Tony Stark,Life,Approved,Medium,Underwriter_1,Pending,$25280,Approved,No,Standard premium
A35848,Bruce Banner,Health,Approved,High,Underwriter_4,Completed,$31083,Rejected,No,Standard premium
A67032,Clint Barton,Health,Declined,Medium,Underwriter_1,Completed,$25197,Approved,No,Standard premium
A75086,Bruce Banner,Health,Approved,High,Underwriter_5,Pending,$46470,Rejected,Yes,Increased premium due to high risk
A46520,Tony Stark,Life,Declined,Medium,Underwriter_2,Pending,$44193,Pending,Yes,Increased premium due to high risk
A49953,Bruce Banner,Critical Illness,Declined,Medium,Underwriter_4,Not Required,$7853,Rejected,Yes,Standard premium
A72226,Bruce Banner,Health,Pending,Medium,Underwriter_3,Not Required,$18936,Rejected,No,Increased premium due to high risk
A99523,Clint Barton,Life,Declined,Medium,Underwriter_3,Pending,$18688,Rejected,Yes,Standard premium
A15710,Tony Stark,Life,Pending,Low,Underwriter_4,Pending,$39999,Pending,Yes,Standard premium
A46724,Clint Barton,Health,Declined,High,Underwriter_1,Not Required,$45218,Rejected,Yes,Increased premium due to high risk
A61405,Steve Rogers,Life,Approved,Medium,Underwriter_4,Completed,$33537,Rejected,No,Standard premium
A53231,Steve Rogers,Life,Approved,Medium,Underwriter_2,Not Required,$16559,Pending,No,Increased premium due to high risk
A31278,Bruce Banner,Term Life,Declined,Low,Underwriter_4,Completed,$38236,Rejected,Yes,Increased premium due to high risk
A96927,Natasha Romanoff,Critical Illness,Pending,Medium,Underwriter_3,Completed,$38951,Pending,No,Standard premium
A94224,Natasha Romanoff,Term Life,Declined,Medium,Underwriter_4,Not Required,$11217,Rejected,No,Standard premium
A15967,Clint Barton,Life,Declined,High,Underwriter_2,Completed,$18667,Approved,No,Standard premium
A43673,Bruce Banner,Life,Pending,Medium,Underwriter_2,Completed,$11878,Approved,No,Increased premium due to high risk
A54223,Natasha Romanoff,Life,Declined,Low,Underwriter_3,Pending,$47886,Rejected,Yes,Increased premium due to high risk
A97298,Tony Stark,Critical Illness,Pending,Low,Underwriter_1,Pending,$46295,Pending,Yes,Increased premium due to high risk
A13987,Steve Rogers,Critical Illness,Pending,High,Underwriter_1,Pending,$33553,Pending,Yes,Increased premium due to high risk
A97662,Steve Rogers,Term Life,Pending,High,Underwriter_1,Pending,$22557,Pending,No,Standard premium
A93105,Steve Rogers,Life,Declined,Medium,Underwriter_4,Completed,$20180,Approved,Yes,Standard premium
A54455,Bruce Banner,Health,Pending,Low,Underwriter_5,Not Required,$9811,Pending,No,Increased premium due to high risk
A16210,Bruce Banner,Life,Pending,Low,Underwriter_5,Completed,$8486,Pending,Yes,Standard premium
A68060,Bruce Banner,Term Life,Approved,Medium,Underwriter_1,Pending,$6503,Approved,Yes,Increased premium due to high risk
A21468,Natasha Romanoff,Critical Illness,Declined,Low,Underwriter_1,Completed,$16509,Pending,No,Standard premium
A80469,Natasha Romanoff,Health,Approved,High,Underwriter_1,Completed,$25043,Approved,Yes,Standard premium
A23148,Clint Barton,Term Life,Approved,Low,Underwriter_3,Completed,$12987,Pending,Yes,Increased premium due to high risk
A29723,Natasha Romanoff,Critical Illness,Declined,High,Underwriter_2,Pending,$17306,Pending,No,Increased premium due to high risk
A78273,Bruce Banner,Term Life,Approved,High,Underwriter_3,Completed,$45040,Approved,No,Standard premium
A74382,Clint Barton,Health,Pending,High,Underwriter_4,Not Required,$25172,Rejected,Yes,Standard premium
A36273,Bruce Banner,Term Life,Declined,High,Underwriter_5,Completed,$40013,Pending,No,Standard premium
A15634,Tony Stark,Life,Pending,Low,Underwriter_4,Not Required,$42200,Pending,Yes,Increased premium due to high risk
A32946,Bruce Banner,Life,Declined,Medium,Underwriter_4,Pending,$25691,Pending,Yes,Increased premium due to high risk
A64398,Natasha Romanoff,Critical Illness,Approved,Low,Underwriter_3,Completed,$23423,Approved,Yes,Standard premium
A94777,Natasha Romanoff,Term Life,Approved,Low,Underwriter_4,Pending,$7193,Pending,No,Standard premium
A10785,Steve Rogers,Critical Illness,Pending,Medium,Underwriter_3,Not Required,$27497,Rejected,No,Increased premium due to high risk
A19838,Bruce Banner,Life,Declined,Low,Underwriter_5,Completed,$49291,Approved,No,Standard premium
A43307,Steve Rogers,Life,Pending,High,Underwriter_4,Not Required,$37268,Rejected,Yes,Standard premium
A53098,Tony Stark,Critical Illness,Pending,High,Underwriter_1,Pending,$20456,Rejected,No,Standard premium
A48592,Tony Stark,Critical Illness,Approved,Medium,Underwriter_1,Not Required,$20416,Rejected,Yes,Increased premium due to high risk
A16641,Tony Stark,Life,Approved,Medium,Underwriter_4,Not Required,$33472,Approved,No,Standard premium
A83714,Bruce Banner,Health,Approved,Medium,Underwriter_2,Completed,$26536,Pending,Yes,Increased premium due to high risk
A51565,Clint Barton,Critical Illness,Pending,High,Underwriter_3,Pending,$37066,Pending,Yes,Increased premium due to high risk
A36374,Bruce Banner,Term Life,Approved,Low,Underwriter_4,Completed,$32855,Approved,Yes,Increased premium due to high risk
A92084,Natasha Romanoff,Term Life,Approved,Medium,Underwriter_5,Completed,$19942,Pending,Yes,Standard premium
A81594,Natasha Romanoff,Life,Approved,High,Underwriter_3,Not Required,$25920,Rejected,Yes,Standard premium
A58035,Clint Barton,Health,Declined,Low,Underwriter_3,Pending,$49904,Pending,No,Standard premium
A62694,Natasha Romanoff,Life,Pending,Medium,Underwriter_5,Pending,$30410,Approved,No,Increased premium due to high risk
